team,minute,player,card_type
South Africa,17',Teboho Mokoena,Yellow
Mexico,23',Brian Gutiérrez,Yellow
South Africa,74',Nkosinathi Sibisi,Yellow
South Korea,90'+6',Lee Gi-Hyuk,Yellow
Canada,11',Alistair Johnston,Yellow
Bosnia-Herzegovina,45',Ermedin Demirovic,Yellow
Bosnia-Herzegovina,45'+1',Jovo Lukic,Yellow
Canada,53',Luc De Fougerolles,Yellow
Bosnia-Herzegovina,90'+3',Nikola Katic,Yellow
Paraguay,10',Juan José Cáceres,Yellow
Paraguay,53',Miguel Almirón,Yellow
United States,59',Tyler Adams,Yellow
Paraguay,79',Diego Gómez,Yellow
Paraguay,88',Álex Arce,Yellow
Paraguay,90'+3',Júnior Alonso,Yellow
Qatar,16',Mahmoud Abunada,Yellow
Qatar,23',Jassem Gaber,Yellow
Switzerland,42',Denis Zakaria,Yellow
Brazil,37',Casemiro,Yellow
Brazil,43',Roger Ibañez,Yellow
Haiti,39',Jean-Ricner Bellegarde,Yellow
Scotland,46',Aaron Hickey,Yellow
Scotland,90'+1',Findlay Curtis,Yellow
Scotland,90'+5',Kenny McLean,Yellow
Turkey,86',Yunus Akgün,Yellow
Netherlands,61',Crysencio Summerville,Yellow
Netherlands,83',Memphis Depay,Yellow
Netherlands,90'+1',Micky van de Ven,Yellow
Ivory Coast,28',Seko Fofana,Yellow
Ivory Coast,38',Franck Kessie,Yellow
Ivory Coast,40',Guéla Doué,Yellow
Ecuador,73',Jackson Porozo,Yellow
Tunisia,54',Rani Khedira,Yellow
Cape Verde,16',Sidny Cabral,Yellow
Spain,90'+3',Pedri,Yellow
Egypt,13',Marwan Attia,Yellow
Belgium,14',Timothy Castagne,Yellow
Egypt,34',Ahmed Fatouh,Yellow
Belgium,75',Maxim De Cuyper,Yellow
South Africa,49',Yaya Sithole,Red
South Africa,84',Themba Zwane,Red
Mexico,90'+2',César Montes,Red
