team,goals_scored,goals_conceded,matches_played,goal_diff
Germany,7,1,1,6
Sweden,5,1,1,4
United States,4,1,1,3
Australia,2,0,1,2
Mexico,2,0,1,2
Japan,2,2,1,0
South Korea,2,1,1,1
Netherlands,2,2,1,0
Brazil,1,1,1,0
Canada,1,1,1,0
Bosnia-Herzegovina,1,1,1,0
Belgium,1,1,1,0
Scotland,1,0,1,1
Qatar,1,1,1,0
Paraguay,1,4,1,-3
Egypt,1,1,1,0
Curacao,1,7,1,-6
Czechia,1,2,1,-1
Morocco,1,1,1,0
Ivory Coast,1,0,1,1
Tunisia,1,5,1,-4
Switzerland,1,1,1,0
Cape Verde,0,0,1,0
Ecuador,0,1,1,-1
Haiti,0,1,1,-1
South Africa,0,2,1,-2
Spain,0,0,1,0
Turkey,0,2,1,-2
